id,resident_selected_priority,resident_selected_category,comment,ai_priority,ai_service_category,suggested_actions
423,02-Urgent,Flooring,When we step on the wood floor water comes up.,01-Emergency,Moisture Issues,"For your safety, please avoid the affected area and try to contain any water until our team arrives."
2144,03-Routine,Storm Damage,The downed trees on boxwood are a safety concern for the kids walking to the bus. The sidewalk has been under construction and is unavailable to the bus stop so the children are walking under the trees branches that were broken from the snow. If this can be cleaned up asap.,02-Urgent,Grounds and landscaping,We understand your concern; please advise children to avoid the area until it is safely cleared.
2682,01-Emergency,LHS Inspections,Suspected mold in master bath we final out on the 26th,02-Urgent,Environmental Concerns,We understand your concerns about potential mold; please avoid disturbing the affected area until our team arrives.
3884,03-Routine,Plumbing and bath,"Garbage Disposal broken, no water leak",03-Routine,Appliance,"We apologize for the inconvenience; please avoid using the disposal, and we will address this issue for you soon."
2386,03-Routine,Common Areas,Downstairs bathtub faucet has slow drip.,03-Routine,Plumbing and bath,We understand a dripping faucet can be bothersome; we will address this for you soon.
2049,03-Routine,General,Flag pole mount on front patio column next to handrail - screws pulled out of column. Mount needs to be reattached and/or replaced.,03-Routine,Building exterior,We appreciate you reporting this; we will address the flag pole mount as soon as possible.
4873,01-Emergency,Moisture Issues,"back door not properly sealed causing water to enter home and cause floor damage, mold; reported this issue several times over the last 2 years and still has not been remedied",02-Urgent,Moisture Issues,We apologize for this inconvenience; please contain any water and avoid the affected area while we arrange for assistance.
5155,01-Emergency,Grounds and landscaping,5/17 Resident submitted through the portal. Resident states A hailstorm and a tree fell down out of the backyard and fell into the next tree and may fall as well into the house.,01-Emergency,Storm Damage,"For your safety, please evacuate immediately and contact emergency services or our property emergency line about the tree."
4536,01-Emergency,Building exterior,"5/5 Resident submitted through web. Resident states the steps leading to their front door, one of the wood strips are rotted and busted through. Does not want anyone to get hurt, outside their unit. They have movers coming through the stairs.",02-Urgent,Building exterior,We are concerned for your safety; please avoid using the damaged steps and warn others until we can make them safe.
3576,01-Emergency,Heating and cooling,Nest thermostat has been set to cool. It starts but does not does blow cold air.,02-Urgent,Heating and cooling,"We understand the discomfort; please ensure all vents are clear, and we will have someone assist you promptly."
355,02-Urgent,Appliance,Garbage disposal is not working. Creates a buzzing sound but does not grind anything when switch turned on. Sink now backing up if water is running on that basin.,02-Urgent,Plumbing and bath,We understand your concern; please avoid using the sink until we can assist you promptly.
6103,02-Urgent,Doors and locks,Can someone please fix this. I hate being locked out when I come home from class at night and have to wake up my family. This is happening too often in a short period of time.,01-Emergency,Doors and locks,We are very sorry for this stressful situation; please ensure you have a reliable way to access your home safely.
1993,03-Routine,Doors and locks,Weather strip is coming off and cold air is coming in house making it cold on first floor.,03-Routine,Doors and locks,We understand your discomfort with the cold air; we will address the weather stripping to improve your home's comfort.
2138,02-Urgent,Heating and cooling,My home doesn`t get above 69 to 70 degrees. I will need someone to come soon to help as my home is cold.,02-Urgent,Heating and cooling,We understand your discomfort; please ensure your thermostat is set correctly while we arrange a visit.
4510,03-Routine,Windows,Bedroom window upstairs shattered in the corner on the inside,02-Urgent,Windows,We understand this is a concern; please ensure the area is safe until our team can assist you.
6459,02-Urgent,General,Mold is growing behind kitchen sink faucet.,02-Urgent,Moisture Issues,We are sorry for this concern; please ensure the area is well-ventilated and avoid disturbing any visible mold.
4390,02-Urgent,Plumbing and bath,Water is dripping from sink constantly,03-Routine,Plumbing and bath,We understand a dripping sink can be bothersome; we will address this for you soon.
3832,03-Routine,Flooring,There is water coming up between two planks next to the fernace/waterheater closet. IT seems to be a slow leak of some kind.,02-Urgent,Moisture Issues,We understand your concern about the water leak; please avoid the area until we can assist you.
6348,02-Urgent,Moisture Issues,Resident stated that there is water coming from window in kitchen by dining room,02-Urgent,Windows,We are sorry for this inconvenience; please contain any water and avoid the area until our team can assist you.
4530,01-Emergency,Safety equipment,5/18 Resident submitted through the portal. Resident states the hallway smoke detector is beeping/,02-Urgent,Safety equipment,We understand your concern about the beeping detector; we will arrange for someone to assist you with this important safety item promptly.
2454,01-Emergency,Appliance,The refrigerator is not cooling.,02-Urgent,Appliance,We apologize for the inconvenience; please keep your refrigerator door closed as much as possible to preserve contents while we assist.
2751,03-Routine,Building exterior,Needing the entire house pressure washed,03-Routine,Building exterior,We appreciate your request; we will schedule a pressure washing service for your home at our earliest convenience.
5506,01-Emergency,Environmental Concerns,Wall around upstairs bathroom is swollen and soft to the touch. Suspect mold behind paint.,02-Urgent,Moisture Issues,We are sorry for this issue; please avoid disturbing the area and ensure it is well-ventilated until our team arrives.
896,03-Routine,LHS Inspections,"Ponding water inside downspout at garage. Tried to leave it but the extension is placed to low to create the right angles. Also would like gutter/downspouts on higher roof checked that they`ve been cleaned or evidence this was checked during turnover inspection. Lastly, was told house was on list for pressure washing. Would like to know when that is scheduled to happen. Would like finding/proof of LHS inspection before turn.",03-Routine,Building exterior,We appreciate your detailed requests; we will review these items and be in touch to discuss them further with you.
3325,02-Urgent,Environmental Concerns,We have spotted black mold growth in the upstairs master bathroom.,02-Urgent,Environmental Concerns,We understand your concern about the mold; please avoid disturbing it and ensure good ventilation until we assist.
5033,02-Urgent,Grounds and landscaping,5/17 Resident submitted through the portal. Resident states tree branch fall on their porch. Still hanging from the roof above the porch.,02-Urgent,Storm Damage,"For your safety, please avoid the porch area until our team can safely address the hanging branch."
2554,03-Routine,Pest Control,Wasps inside the house,02-Urgent,Pest Control,We understand your concern; please avoid the wasps and ensure your safety until our pest control team arrives.
6463,02-Urgent,Electrical and lighting,Breaker keeps tripping when trying to run the washing machine. We have also had the breaker trip for the entire living room when trying to run the washing machine. Finally today the refrigerator breaker started tripping even though it has a dedicated breaker.,01-Emergency,Electrical and lighting,"For your safety, please unplug all non-essential appliances and contact our emergency line immediately for urgent assistance."
4565,01-Emergency,Electrical and lighting,"Downstairs bedroom has no power. Outlets, fan or lights.",02-Urgent,Electrical and lighting,"We apologize for the inconvenience; please check your breaker panel, and we will assist you shortly."
11,01-Emergency,Safety equipment,Smoke detector beeps even with new batteries.,02-Urgent,Safety equipment,We apologize for the disturbance; please ensure your smoke detectors are clear of obstructions while we arrange for service.
