id,Priority,SR start date/time,Service Category,Service Comments
5368,01-Emergency,2022-10-03 09:46:00,Environmental Concerns,"Behind the hood vent screen for the range, there are black splotches that resemble mold growth."
1586,01-Emergency,2022-02-24 15:47:00,Doors and locks,"Dead bolt is not operating properly on back door, gets stuck and won`t completely lock."
1596,03-Routine,2022-02-07 10:49:00,Electrical and lighting,Not working
5706,02-Urgent,2022-10-07 15:10:00,Doors and locks,"We cannot close the garage door with the other garage remote or with the button by the backyard door. I am thinking its a sensor issue but i did not want to mess with it, since it is not my area of expersie."
778,03-Routine,2022-08-31 13:59:00,Doors and locks,Mailbox door doesn`t close completely
1468,02-Urgent,2022-02-15 08:19:00,Heating and cooling,I have my heater set to 70° but the thermostat shows that it is 62° inside the house.
3467,02-Urgent,2022-06-15 15:05:00,Electrical and lighting,Outlet sparks and is dangerous. Please fix ASAP
5333,01-Emergency,2022-10-08 08:29:00,Grounds and landscaping,Toilet back was replaced and it was working for about 1/2 day. Again toilet is clogged and/or not flushing properly. Brown water coming up.
1888,03-Routine,2022-01-03 19:36:00,Storm Damage,"This is not a trim board issue. Unable to find correct drop down menu for my issue. During the snow storm, a tree branch partially bent near the garage door (walkway to garage from patio) and is blocking the entrance. Requesting that the tree branch be cut and removed."
2394,03-Routine,2022-07-13 18:37:00,Appliance,Rubber seal around the door is cracked and flaking off. Does not completely seal door to the refrigerator.
6049,02-Urgent,2022-09-28 17:13:00,Heating and cooling,"Water leaking from either the A/C or water heater leaking into the living room, entry area."
2285,02-Urgent,2022-01-27 10:32:00,Heating and cooling,HVAC is leaking (again) inside HVAC closet. Water is on the floor below the unit.
5642,01-Emergency,2022-10-21 11:26:00,Environmental Concerns,resident statens they found mold in the bathroom
4249,03-Routine,2022-03-31 17:48:00,Plumbing and bath,Peeling around the drain. Hazard for our young children who take baths in the second bath tub
6330,02-Urgent,2022-09-20 08:45:00,Appliance,"Ice maker leaking, ice cubes melting together."
1953,03-Routine,2022-01-19 14:54:00,Building exterior,The portal does not allow for exterior maintenance choices... The front and back second floor gutters leak above the common wall between 5422 and 5424 causing erosion where the water hits the ground.
540,01-Emergency,2022-04-16 20:05:00,Doors and locks,Screen door is broken wind and recent storms have made it blow off 2 times
6214,02-Urgent,2022-09-13 17:26:00,Plumbing and bath,kitchen sink now fills up on both sides and drains too slowly to be usable. We have recorded video for proof. please change this system so we can add updates to tickets as well as add attachments.
3770,01-Emergency,2022-06-12 12:34:00,Safety equipment,Replaced batteries in all the smoke detectors and they are still beeping. I believe they are at end of life cycle Called to see if resident was home to schedule left a vm. LT 6/20 6/29 resident stated missing detector is in spare bedroom
2761,01-Emergency,2022-07-29 17:47:00,Heating and cooling,The air conditioner is making a very loud clanking sound.
3284,03-Routine,2022-06-20 10:51:00,Plumbing and bath,Retrieved broken metal pieces from garbage disposal; disposal no longer working properly.
4596,02-Urgent,2022-05-31 14:00:00,Plumbing and bath,leaks on bottom drain
711,03-Routine,2022-08-03 10:00:00,Doors and locks,Basically think I need a new one. Needs patching and also off track
3233,02-Urgent,2022-06-14 11:48:00,Plumbing and bath,The stove exhaust fan has dirty water leaking down the wall. Not sure if from rain last night
406,01-Emergency,2022-04-10 14:15:00,Doors and locks,security lock on side door ran out of batteries.
2594,03-Routine,2022-07-05 12:36:00,Building exterior,"Needs power wash exterior to remove mold, dirt, etc."
2329,01-Emergency,2022-01-06 23:44:00,Plumbing and bath,"The plumbing in kitchen over flows when water runs. If dish washer or kitchen sink is used, it will over flow in the closer. This issue has been fixed before and is now clogging again."
6421,03-Routine,2022-09-15 08:12:00,Pest Control,Bugs nesting in the hedges in the front of the house and around the front light fixtures. Need to spray and power wash.
6246,02-Urgent,2022-09-29 14:00:00,Plumbing and bath,"Follow up to WO# 139994-1. Water still backs up when washing machine drains. After the line was snaked today, now the water is full of black debris."
4195,03-Routine,2022-03-01 21:22:00,Heating and cooling,Couldn`t find the appropriate option. Please clean out the dryer lint vent. It is visibly full from outside the house. Fire hazard.
4941,01-Emergency,2022-05-19 08:35:00,Doors and locks,"We had the batteries changed a few months ago, but it stopped working. Our neighbor (that we know) was able to use their key to enter our house. Its more than just a battery replacement."
259,01-Emergency,2022-04-01 15:40:00,Heating and cooling,Nest Thermostat failed several months ago. Was replaced w/ a old model thermostat. Housing said to ask Maintainence to re-upgrade back to a nest.
5593,03-Routine,2022-10-17 16:36:00,Electrical and lighting,Fell off the wall while no one was near it
1015,02-Urgent,2022-08-17 10:00:00,Plumbing and bath,8/18 Upstairs hallway bathroom
